210400,300000,399900
160000,300000,329900
240000,300000,369000
141600,200000,232000
300000,400000,539900
198500,400000,299900
153400,300000,314900
142700,300000,198999
138000,300000,212000
149400,300000,242500
194000,400000,239999
200000,300000,347000
189000,300000,329999
447800,500000,699900
126800,300000,259900
230000,400000,449900
132000,200000,299900
123600,300000,199900
260900,400000,499998
303100,400000,599000
176700,300000,252900
188800,200000,255000
160400,300000,242900
196200,400000,259900
389000,300000,573900
110000,300000,249900
145800,300000,464500
252600,300000,469000
220000,300000,475000
263700,300000,299900
183900,200000,349900
100000,100000,169900
204000,400000,314900
313700,300000,579900
181100,400000,285900
143700,300000,249900
123900,300000,229900
213200,400000,345000
421500,400000,549000
216200,400000,287000
166400,200000,368500
223800,300000,329900
256700,400000,314000
120000,300000,299000
85200,200000,179900
185200,400000,299900
120300,300000,239500
